Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
Filtering,All_GUI_Component_IDs,NO,None,None,3,8.721518987341772,79,129,0.4,0.65,0.725,58,0.5916666666666667,0.7875,0.8625,0.6849999999999999,0.5189240339570054,0.42567076793655445,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '135', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']"
Filtering,All_GUI_Component_IDs,NO,None,None,4,8.79746835443038,79,129,0.4,0.6375,0.725,58,0.5875,0.7875,0.8625,0.6825000000000001,0.5182008530283448,0.42521552289444103,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '135', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,2,8.886075949367088,79,128,0.4,0.6375,0.7125,57,0.5833333333333334,0.7875,0.85,0.6775,0.5170973644185759,0.42730266395537486,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '135', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,3,8.734177215189874,79,129,0.4,0.65,0.725,58,0.5916666666666667,0.7875,0.85,0.6825,0.5188942720522434,0.42524418063496716,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '135', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,4,8.810126582278482,79,130,0.4,0.6375,0.725,58,0.5875,0.7875,0.85,0.68,0.5181710911235831,0.42728893559285364,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '135', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']"
Filtering,GUI_States,NO,GUI_States,None,2,1.34375,32,33,0.3,0.4,0.4,32,0.3666666666666667,0.4,0.4,0.38,0.34375,0.2814583333333333,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_States,NO,GUI_States,None,3,1.6176470588235294,34,35,0.2875,0.425,0.425,34,0.37916666666666665,0.425,0.425,0.3975,0.3375,0.27439732142857143,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_States,NO,GUI_States,None,4,1.7222222222222223,36,38,0.3,0.45,0.45,36,0.39999999999999997,0.45,0.45,0.42000000000000004,0.3504166666666667,0.2933556547619047,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '256', '1202', '1205', '1224', '1299', '1399', '1430', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,Interacted_GUI_Component_IDs,NO,GUI_States,None,2,5.9411764705882355,17,17,0.15,0.175,0.1875,15,0.1708333333333333,0.1875,0.2,0.18,0.16500612745098037,0.1390686274509804,"['18', '19', '206', '1202', '1224', '1399', '162', '1563', '1568', '1428', '159', '1130', '201', '1223', '1406']"
Filtering,Interacted_GUI_Component_IDs,NO,GUI_States,None,3,5.9375,32,42,0.2625,0.325,0.35,28,0.3125,0.3625,0.375,0.335,0.2970128098409175,0.24704381182504448,"['18', '19', '129', '206', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1130', '201', '1147', '1223', '1645', '1406']"
Filtering,Interacted_GUI_Component_IDs,NO,GUI_States,None,4,6.0285714285714285,35,45,0.275,0.3375,0.375,30,0.32916666666666666,0.4,0.4125,0.36000000000000004,0.3124775534306611,0.2578067059249921,"['18', '19', '129', '206', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '200', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1130', '201', '1147', '1223', '1645', '1406']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_States,None,2,3.9444444444444446,36,37,0.275,0.4,0.425,34,0.3666666666666667,0.425,0.4375,0.3925,0.3280269607843137,0.26979779411764704,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1568', '1428', '159', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_States,None,3,4.816326530612245,49,61,0.3375,0.525,0.5625,45,0.47500000000000003,0.575,0.5875,0.5175,0.415474348302456,0.3589364244207821,"['8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1150']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_States,None,4,5.117647058823529,51,64,0.3375,0.5125,0.575,46,0.4749999999999999,0.6,0.6125,0.5275000000000001,0.4139862530643607,0.3546172279922106,"['8', '18', '19', '117', '128', '129', '130', '135', '206', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1430', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1150']"
Filtering,All_GUI_Component_IDs,NO,GUI_States,None,2,8.962025316455696,79,128,0.4,0.65,0.725,58,0.5916666666666667,0.8,0.8875,0.6925000000000001,0.5160244175490403,0.42786723570145735,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1640']"
Filtering,All_GUI_Component_IDs,NO,GUI_States,None,3,8.683544303797468,79,129,0.4,0.675,0.725,58,0.6000000000000001,0.8125,0.8875,0.7,0.5243094887381804,0.43076613127394675,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']"
Filtering,All_GUI_Component_IDs,NO,GUI_States,None,4,8.746835443037975,79,129,0.4,0.6625,0.7125,57,0.5916666666666667,0.8125,0.8875,0.695,0.5235904697389261,0.4300327250416872,"['2', '8', '10', '18', '19', '128', '129', '130', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,2,8.987341772151899,79,128,0.4,0.65,0.725,58,0.5916666666666667,0.8,0.875,0.6900000000000001,0.5159617609074362,0.42740775366302797,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,3,8.721518987341772,79,129,0.4,0.675,0.725,58,0.6000000000000001,0.8125,0.875,0.6975,0.5242290258287701,0.4302888429677111,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,4,8.784810126582279,79,130,0.4,0.6625,0.7125,57,0.5916666666666667,0.8125,0.875,0.6925,0.5235100068295158,0.4337221034021182,"['2', '8', '10', '18', '19', '128', '129', '130', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']"
Filtering,GUI_States,NO,Interacted_GUI_Component_IDs,None,2,1.4375,32,33,0.2625,0.4,0.4,32,0.3541666666666667,0.4,0.4,0.37249999999999994,0.325,0.2627083333333333,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_States,NO,Interacted_GUI_Component_IDs,None,3,1.6764705882352942,34,35,0.25,0.425,0.425,34,0.3666666666666667,0.425,0.425,0.39,0.31979166666666664,0.2559077380952381,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_States,NO,Interacted_GUI_Component_IDs,None,4,1.6944444444444444,36,38,0.275,0.45,0.45,36,0.39166666666666666,0.45,0.45,0.41500000000000004,0.34312499999999996,0.2777827380952381,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '256', '1202', '1205', '1224', '1299', '1399', '1430', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,Interacted_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,2,6.0,17,17,0.1375,0.175,0.1875,15,0.16666666666666666,0.1875,0.2,0.1775,0.1587561274509804,0.13594362745098038,"['18', '19', '206', '1202', '1224', '1399', '162', '1563', '1568', '1428', '159', '1130', '201', '1223', '1406']"
Filtering,Interacted_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,3,5.78125,32,42,0.2375,0.3375,0.35,28,0.3083333333333333,0.3625,0.375,0.33249999999999996,0.287216209036062,0.24037221102018896,"['18', '19', '129', '206', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1130', '201', '1147', '1223', '1645', '1406']"
Filtering,Interacted_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,4,5.8,35,45,0.2625,0.35,0.375,30,0.32916666666666666,0.4,0.4125,0.36000000000000004,0.30909120903606196,0.2546522563716629,"['18', '19', '129', '206', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '200', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1130', '201', '1147', '1223', '1645', '1406']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,2,4.027777777777778,36,37,0.2625,0.4,0.425,34,0.36250000000000004,0.425,0.4375,0.39,0.3214644607843137,0.26323529411764707,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1568', '1428', '159', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,3,4.673469387755102,49,61,0.325,0.5375,0.5625,45,0.47500000000000003,0.575,0.5875,0.5175,0.413996512066365,0.3574585881846911,"['8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1150']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,4,4.901960784313726,51,64,0.3375,0.525,0.575,46,0.4791666666666667,0.6,0.6125,0.53,0.42079138386123677,0.3604619173208327,"['8', '18', '19', '117', '128', '129', '130', '135', '206', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1430', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1150']"
Filtering,All_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,2,8.784810126582279,79,128,0.4125,0.6375,0.7125,57,0.5874999999999999,0.7625,0.8875,0.6824999999999999,0.5265565217161957,0.43276196328221045,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '135', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']"
Filtering,All_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,3,8.405063291139241,79,129,0.4375,0.6625,0.725,58,0.6083333333333334,0.775,0.8875,0.6975,0.544656026215909,0.44950980356744974,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']"
Filtering,All_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,4,8.620253164556962,79,129,0.4125,0.65,0.725,58,0.5958333333333333,0.775,0.875,0.6875,0.531266760521593,0.4406041942861149,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,2,8.79746835443038,79,128,0.4125,0.6375,0.7125,57,0.5874999999999999,0.7625,0.875,0.6799999999999999,0.5265267598114338,0.4323353759806231,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '135', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,3,8.405063291139241,79,129,0.4375,0.6625,0.725,58,0.6083333333333334,0.775,0.8875,0.6975,0.544656026215909,0.44898897023411644,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,4,8.620253164556962,79,130,0.4125,0.65,0.725,58,0.5958333333333333,0.775,0.875,0.6875,0.531266760521593,0.44216669428611494,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']"
Filtering,GUI_States,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,2,1.40625,32,33,0.275,0.4,0.4,32,0.3583333333333334,0.4,0.4,0.375,0.33125,0.2689583333333333,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_States,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,3,1.6764705882352942,34,35,0.2625,0.425,0.425,34,0.37083333333333335,0.425,0.425,0.3925,0.325,0.2618973214285714,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_States,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,4,1.6944444444444444,36,38,0.275,0.45,0.45,36,0.39166666666666666,0.45,0.45,0.41500000000000004,0.3441666666666667,0.28344494047619045,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '256', '1202', '1205', '1224', '1299', '1399', '1430', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,Interacted_GUI_Component_IDs,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,2,5.9411764705882355,17,17,0.15,0.175,0.1875,15,0.1708333333333333,0.1875,0.2,0.18,0.16500612745098037,0.1390686274509804,"['18', '19', '206', '1202', '1224', '1399', '162', '1563', '1568', '1428', '159', '1130', '201', '1223', '1406']"
Filtering,Interacted_GUI_Component_IDs,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,3,5.75,32,42,0.25,0.3375,0.35,28,0.3125,0.3625,0.375,0.335,0.29545484539969835,0.24548584738382534,"['18', '19', '129', '206', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1130', '201', '1147', '1223', '1645', '1406']"
Filtering,Interacted_GUI_Component_IDs,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,4,5.857142857142857,35,45,0.2625,0.35,0.375,30,0.32916666666666666,0.4,0.4125,0.36000000000000004,0.31091958898944194,0.25624874148377297,"['18', '19', '129', '206', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '200', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1130', '201', '1147', '1223', '1645', '1406']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,2,3.9722222222222223,36,37,0.2625,0.4,0.425,34,0.36250000000000004,0.425,0.4375,0.39,0.3217769607843137,0.26354779411764706,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1568', '1428', '159', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_State_and_Interacted_GUI_Component_IDs,None,3,4.63265306122449,49,61,0.325,0.5375,0.5625,45,0.47500000000000003,0.575,0.5875,0.5175,0.41766638386123683,0.3611284599795629,"['8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1150']"
