Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
Filtering,Interacted_GUI_Component_IDs,NO,GUI_States,None,4,5.888888888888889,36,46,0.2375,0.375,0.4,32,0.3375000000000001,0.4125,0.4125,0.36750000000000005,0.3016242700862571,0.2629787791628976,"['18', '19', '53', '129', '206', '256', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '200', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1130', '201', '1147', '1223', '1645', '1406']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_States,None,2,4.297297297297297,37,38,0.3,0.4125,0.4375,35,0.3833333333333333,0.4375,0.4375,0.40499999999999997,0.35456528740227433,0.2993678371535181,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '256', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1568', '1428', '159', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_States,None,3,4.72,50,62,0.3375,0.5375,0.575,46,0.48333333333333334,0.5875,0.5875,0.525,0.4334248653243522,0.3855618644803579,"['8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '256', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1150']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_States,None,4,4.75,52,65,0.325,0.5625,0.6,48,0.4958333333333333,0.6125,0.6125,0.5424999999999999,0.42923790644989335,0.3802191516376451,"['8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '256', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1430', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1150']"
Filtering,All_GUI_Component_IDs,NO,GUI_States,None,2,13.1625,80,129,0.2,0.65,0.7375,59,0.5291666666666667,0.7625,0.8,0.6300000000000001,0.38540484603890907,0.3396245365513753,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '206', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
Filtering,All_GUI_Component_IDs,NO,GUI_States,None,3,13.6375,80,130,0.2125,0.675,0.7375,59,0.5416666666666666,0.7625,0.7875,0.635,0.39450069071399724,0.3460209537304511,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '206', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
Filtering,All_GUI_Component_IDs,NO,GUI_States,None,4,13.6625,80,130,0.225,0.675,0.725,58,0.5416666666666666,0.7625,0.7875,0.635,0.3978674755213742,0.34450988169286195,"['8', '18', '19', '53', '128', '130', '135', '191', '206', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,2,13.1875,80,129,0.2,0.65,0.7375,59,0.5291666666666667,0.7625,0.7875,0.6275000000000001,0.38536746218292767,0.3395749773707185,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '206', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,3,13.6625,80,130,0.2125,0.675,0.7375,59,0.5416666666666666,0.7625,0.775,0.6325000000000001,0.3944633068580158,0.34597139454979436,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '206', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,4,13.6875,80,131,0.225,0.675,0.725,58,0.5416666666666666,0.7625,0.775,0.6325000000000001,0.3978300916653928,0.34559668614856887,"['8', '18', '19', '53', '128', '130', '135', '191', '206', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
Filtering,GUI_States,NO,Interacted_GUI_Component_IDs,None,2,1.28125,32,33,0.2875,0.4,0.4,32,0.3625,0.4,0.4,0.37749999999999995,0.34375,0.288125,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_States,NO,Interacted_GUI_Component_IDs,None,3,1.3529411764705883,34,35,0.3125,0.425,0.425,34,0.3875,0.425,0.425,0.4025,0.3625,0.29178571428571426,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_States,NO,Interacted_GUI_Component_IDs,None,4,1.4444444444444444,36,38,0.3125,0.45,0.45,36,0.4041666666666666,0.45,0.45,0.4225,0.3708333333333333,0.30480654761904763,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '256', '1202', '1205', '1224', '1299', '1399', '1430', '1481', '162', '192', '199', '200', '1228', '1563', '11', '227', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,Interacted_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,2,7.277777777777778,18,18,0.15,0.175,0.2,16,0.17499999999999996,0.2,0.2,0.18499999999999997,0.1660518790849673,0.1401266339869281,"['18', '19', '206', '256', '1202', '1224', '1399', '162', '1563', '1568', '1428', '159', '1130', '201', '1223', '1406']"
