Bug Report ID,Activities,Fragments,Interacted Component IDs,All Component IDs
128,['SettingsActivity'],[],['text1'],"['action_bar_root', 'content', 'container_toolbar', 'container_content', 'title', 'summary', 'widget_frame', 'checkbox', 'statusBarBackground', 'navigationBarBackground', 'parentPanel', 'topPanel', 'title_template', 'alertTitle', 'contentPanel', 'text1', 'buttonPanel', 'button2']"
129,"['MainActivity', 'NexusLauncherActivity']",[],['manual_secret'],"['content', 'parentPanel', 'topPanel', 'title_template', 'alertTitle', 'customPanel', 'custom', 'manual_type', 'text1', 'manual_issuer', 'manual_label', 'manual_secret', 'manual_tags', 'dialog_expand_button', 'buttonPanel', 'button2', 'button1', 'launcher', 'drag_layer', 'scrim_view', 'workspace', 'workspace_page_container', 'search_container_workspace', 'smartspace_content', 'clock', 'page_indicator', 'hotseat', 'layout', 'search_container_hotseat', 'g_icon', 'mic_icon']"
130,['IntroScreenActivity'],[],['mi_button_next'],"['action_bar_root', 'content', 'mi_frame', 'mi_pager', 'mi_title', 'mi_description', 'mi_pager_indicator', 'mi_button_next', 'statusBarBackground', 'navigationBarBackground', 'introEncryptionSelection', 'text1', 'introEncryptionDesc', 'mi_button_back', 'introAuthDesc', 'introAuthSelection', 'introAuthWarnings', 'introCredentialsLayout', 'introPasswordLayout', 'introPasswordEdit', 'text_input_password_toggle', 'introPasswordConfirm']"
135,"['CategoryImagesActivity', 'CategoryDetailsActivity']","['MediaDetailPagerFragment', 'SubCategoryListFragment']",['mediaDetailCategoryItemText'],"['action_bar_root', 'content', 'drawer_layout', 'toolbar', 'menu_bookmark_current_image', 'menu_share_current_image', 'fragmentContainer', 'mediaDetailsPager', 'mediaDetailScrollView', 'mediaDetailLicense', 'mediaDetailCoordinates', 'mediaDetailCategoryContainer', 'mediaDetailCategoryItemText', 'mediaDetailImage', 'statusBarBackground', 'navigationBarBackground', 'toolbar_layout', 'tabLayout', 'viewPager', 'parentLayout', 'categoryImagesList', 'categoryImageView', 'categoryImageTitle', 'categoryImageAuthor', 'image_search_results_display', 'imageSearchInProgress']"
158,"['NoteEditor', 'DeckPicker', 'Reviewer']",[],[],"['action_bar_root', 'content', 'root_layout', 'toolbar', 'action_save', 'CardEditorScroll', 'CardEditorLayout', 'CardEditorModelText', 'note_type_spinner', 'text1', 'CardEditorDeckText', 'note_deck_spinner', 'CardEditorEditFieldsLayout', 'id_note_editText', 'id_media_button', 'CardEditorTagButton', 'CardEditorTagText', 'CardEditorCardsButton', 'CardEditorCardsText', 'navigationBarBackground', 'drawer_layout', 'deckpicker_view', 'action_sync', 'pull_to_sync_wrapper', 'files', 'DeckPickerHoriz', 'deckpicker_name', 'counts_layout', 'deckpicker_new', 'deckpicker_lrn', 'deckpicker_rev', 'today_stats_text_view', 'add_content_menu', 'fab_expand_menu_button', 'front_frame', 'action_undo', 'action_mark_card', 'top_bar', 'new_number', 'learn_number', 'review_number', 'flashcard_frame', 'touch_layer', 'flashcard', 'whiteboard', 'bottom_area_layout', 'answer_options_layout', 'flashcard_layout_flip', 'flip_card']"
159,"['NoteEditor', 'AnkiDroidCrashReportDialog']",[],"['text1', 'action_save']","['text1', 'action_bar_root', 'content', 'root_layout', 'toolbar', 'action_save', 'CardEditorScroll', 'CardEditorLayout', 'CardEditorModelText', 'note_type_spinner', 'CardEditorDeckText', 'note_deck_spinner', 'CardEditorEditFieldsLayout', 'id_note_editText', 'CardEditorTagButton', 'CardEditorTagText', 'CardEditorCardsButton', 'CardEditorCardsText', 'statusBarBackground', 'navigationBarBackground', 'parentPanel', 'topPanel', 'title_template', 'icon', 'alertTitle', 'customPanel', 'custom', 'scrollView1', 'etFeedbackText', 'alwaysReportCheckbox', 'tvFeedbackDisclaimer', 'buttonPanel', 'button2', 'button1']"
160,[],[],['action_undo'],"['action_bar_root', 'content', 'drawer_layout', 'root_layout', 'front_frame', 'toolbar', 'action_hide_whiteboard', 'action_undo', 'action_flag', 'top_bar', 'new_number', 'learn_number', 'review_number', 'choosen_answer', 'flashcard_frame', 'flashcard', 'qa', 'touch_layer', 'whiteboard', 'bottom_area_layout', 'answer_options_layout', 'flashcard_layout_flip', 'flip_card', 'navigationBarBackground']"
162,"['AccountSetupBasics', 'DocumentsActivity']",[],"['account_password', 'manual_setup']","['decor_content_parent', 'action_bar_container', 'action_bar', 'home', 'action_bar_title', 'content', 'account_email', 'account_password', 'show_password', 'foldable_advanced_options', 'foldableControl', 'foldableIcon', 'foldableText', 'divider', 'manual_setup', 'next', 'parentPanel', 'contentPanel', 'scrollView', 'message', 'buttonPanel', 'button1']"
168,[],[],"['permission_allow_always_button', 'map']","['content', 'content_container', 'permission_icon', 'permission_message', 'permission_allow_always_button', 'permission_allow_foreground_only_button', 'permission_deny_button', 'decor_content_parent', 'mainscreen', 'status', 'status_icon', 'status_message', 'map', 'nearest', 'search_offline', 'advanced_button', 'any_button', 'filter_button', 'filter_button_title', 'nav_location', 'nav_satellites', 'nav_accuracy', 'nav_type', 'action_bar_container', 'action_bar', 'menu_gosearch', 'menu_history', 'launcher', 'drag_layer', 'scrim_view', 'workspace', 'search_container_workspace', 'smartspace_content', 'clock', 'page_indicator', 'hotseat', 'apps_view', 'all_apps_header', 'search_container_all_apps', 'g_icon', 'mic_icon']"
191,['GameActivity'],[],[],"['content', 'fragment_status', 'txt_credits', 'txt_bonus', 'txt_lives', 'txt_wave', 'view_tower_1', 'view_tower_2', 'view_tower_3', 'view_tower_4', 'btn_menu', 'btn_next_wave', 'view_tower_defense']"
