"Bug_Id","Query_Reformulation_Type","Number_Of_Retrieved_Files"
"1223","original-bug-report","96"
"1223","replaced-query","88"
"1223","query-expansion-1","96"
"1224","original-bug-report","99"
"1224","replaced-query","92"
"1224","query-expansion-1","99"
"1228","original-bug-report","91"
"1228","replaced-query","76"
"1228","query-expansion-1","91"
"1299","original-bug-report","55"
"1299","replaced-query","38"
"1299","query-expansion-1","55"
"1389","original-bug-report","17"
"1389","replaced-query","17"
"1389","query-expansion-1","17"
"1399","original-bug-report","116"
"1399","replaced-query","77"
"1399","query-expansion-1","122"
"1402","original-bug-report","111"
"1402","replaced-query","103"
"1402","query-expansion-1","116"
"1403","original-bug-report","106"
"1403","replaced-query","105"
"1403","query-expansion-1","116"
"1406","original-bug-report","119"
"1406","replaced-query","120"
"1406","query-expansion-1","125"
"1425","original-bug-report","69"
"1425","replaced-query","30"
"1425","query-expansion-1","69"
"1428","original-bug-report","67"
"1428","replaced-query","58"
"1428","query-expansion-1","67"
"1430","original-bug-report","66"
"1430","replaced-query","50"
"1430","query-expansion-1","66"
"1441","original-bug-report","91"
"1441","replaced-query","73"
"1441","query-expansion-1","91"
"1445","original-bug-report","73"
"1445","replaced-query","57"
"1445","query-expansion-1","78"
"1446","original-bug-report","90"
"1446","replaced-query","59"
"1446","query-expansion-1","90"
"1481","original-bug-report","12"
"1481","replaced-query","12"
"1481","query-expansion-1","13"
"1563","original-bug-report","17"
"1563","replaced-query","14"
"1563","query-expansion-1","17"
"1568","original-bug-report","16"
"1568","query-expansion-1","16"
"1640","original-bug-report","14"
"1640","query-expansion-1","14"
"1641","original-bug-report","16"
"1641","query-expansion-1","16"
"1645","original-bug-report","10"
"1645","query-expansion-1","10"
