Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Number of Identified Bugs,Number of identified buggy files,Hit@10,Number of hits@10
Boosting,NO,All_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,2,80,142,0.85,68
Boosting,NO,All_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,3,80,142,0.85,68
Boosting,NO,All_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,4,80,142,0.85,68
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,2,80,142,0.85,68
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,3,80,142,0.85,68
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,GUI_State_and_Interacted_GUI_Component_IDs,None,4,80,142,0.85,68
Boosting,NO,GUI_States,All_GUI_Component_IDs,None,2,80,142,0.85,68
Boosting,NO,GUI_States,All_GUI_Component_IDs,None,3,80,142,0.8375,67
Boosting,NO,GUI_States,All_GUI_Component_IDs,None,4,80,142,0.8375,67
Boosting,NO,Interacted_GUI_Component_IDs,All_GUI_Component_IDs,None,2,80,142,0.8125,65
Boosting,NO,Interacted_GUI_Component_IDs,All_GUI_Component_IDs,None,3,80,142,0.8,64
Boosting,NO,Interacted_GUI_Component_IDs,All_GUI_Component_IDs,None,4,80,142,0.8,64
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,All_GUI_Component_IDs,None,2,80,142,0.8375,67
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,All_GUI_Component_IDs,None,3,80,142,0.825,66
Boosting,NO,GUI_State_and_Interacted_GUI_Component_IDs,All_GUI_Component_IDs,None,4,80,142,0.825,66
Boosting,NO,All_GUI_Component_IDs,All_GUI_Component_IDs,None,2,80,142,0.85,68
Boosting,NO,All_GUI_Component_IDs,All_GUI_Component_IDs,None,3,80,142,0.825,66
Boosting,NO,All_GUI_Component_IDs,All_GUI_Component_IDs,None,4,80,142,0.825,66
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,All_GUI_Component_IDs,None,2,80,142,0.85,68
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,All_GUI_Component_IDs,None,3,80,142,0.825,66
Boosting,NO,GUI_State_and_All_GUI_Component_IDs,All_GUI_Component_IDs,None,4,80,142,0.825,66
Boosting,NO,GUI_States,GUI_State_and_All_GUI_Component_IDs,None,2,80,142,0.85,68
Boosting,NO,GUI_States,GUI_State_and_All_GUI_Component_IDs,None,3,80,142,0.8375,67
Boosting,NO,GUI_States,GUI_State_and_All_GUI_Component_IDs,None,4,80,142,0.8375,67
Boosting,NO,Interacted_GUI_Component_IDs,GUI_State_and_All_GUI_Component_IDs,None,2,80,142,0.8,64
Boosting,NO,Interacted_GUI_Component_IDs,GUI_State_and_All_GUI_Component_IDs,None,3,80,142,0.8125,65
