,Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List,BugLocator HIT@10,BugLocator Avg HIT Between 1 and 5,SentenceBERT HIT@10,SentenceBERT Avg HIT Between 1 and 5,UnixCoder HIT@10,UnixCoder Avg HIT Between 1 and 5,Lucene HIT@10,Lucene Avg HIT Between 1 and 5,Average All Config HIT@10,Average All Config Avg HIT Between 1 and 5,BugLocator Rank,SentenceBERT Rank,UnixCoder Rank,Lucene Rank,Average All Config Rank
21,Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_States,None,2,3.9444444444444446,36,37,0.275,0.4,0.425,34,0.3666666666666667,0.425,0.4375,0.3925,0.3280269607843137,0.269797794117647,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1568', '1428', '159', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']",0.425,0.3375,0.4375,0.31875,0.4375,0.35624999999999996,0.4375,0.35,0.434375,0.34062499999999996,234.0,264.0,229.0,220.0,368.0
22,Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_States,None,3,4.816326530612245,49,61,0.3375,0.525,0.5625,45,0.475,0.575,0.5875,0.5175,0.415474348302456,0.3589364244207821,"['8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1150']",0.5625,0.43125,0.6,0.43124999999999997,0.575,0.4375,0.5875,0.46875,0.58125,0.4421875,182.0,180.0,168.0,153.0,279.0
23,Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,GUI_States,None,4,5.117647058823529,51,64,0.3375,0.5125,0.575,46,0.4749999999999999,0.6,0.6125,0.5275000000000001,0.4139862530643607,0.3546172279922106,"['8', '18', '19', '117', '128', '129', '130', '135', '206', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1430', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1150']",0.575,0.425,0.625,0.43125,0.6,0.44375,0.6125,0.48750000000000004,0.6031249999999999,0.44687499999999997,171.0,160.0,141.0,127.0,251.0
24,Filtering,All_GUI_Component_IDs,NO,GUI_States,None,2,8.962025316455696,79,128,0.4,0.65,0.725,58,0.5916666666666667,0.8,0.8875,0.6925000000000001,0.5160244175490403,0.4278672357014573,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1640']",0.725,0.525,0.7375,0.39999999999999997,0.7375,0.42500000000000004,0.8375,0.6,0.759375,0.48750000000000004,92.0,77.0,69.0,29.0,110.0
25,Filtering,All_GUI_Component_IDs,NO,GUI_States,None,3,8.683544303797468,79,129,0.4,0.675,0.725,58,0.6000000000000001,0.8125,0.8875,0.7,0.5243094887381804,0.4307661312739467,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']",0.725,0.5375000000000001,0.725,0.41875,0.7375,0.44375000000000003,0.85,0.6,0.759375,0.5,90.0,81.0,65.0,17.0,108.0
26,Filtering,All_GUI_Component_IDs,NO,GUI_States,None,4,8.746835443037975,79,129,0.4,0.6625,0.7125,57,0.5916666666666667,0.8125,0.8875,0.695,0.5235904697389261,0.4300327250416872,"['2', '8', '10', '18', '19', '128', '129', '130', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']",0.7125,0.53125,0.725,0.41874999999999996,0.725,0.45,0.8625,0.6,0.7562500000000001,0.5,105.0,82.0,79.0,10.0,122.0
27,Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,2,8.987341772151899,79,128,0.4,0.65,0.725,58,0.5916666666666667,0.8,0.875,0.6900000000000001,0.5159617609074362,0.4274077536630279,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1640']",0.725,0.525,0.7375,0.39999999999999997,0.7375,0.42500000000000004,0.8375,0.6,0.759375,0.48750000000000004,92.0,77.0,69.0,29.0,110.0
28,Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,3,8.721518987341772,79,129,0.4,0.675,0.725,58,0.6000000000000001,0.8125,0.875,0.6975,0.5242290258287701,0.4302888429677111,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']",0.725,0.5375000000000001,0.725,0.41875,0.7375,0.44375000000000003,0.85,0.6,0.759375,0.5,90.0,81.0,65.0,17.0,108.0
29,Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,4,8.784810126582279,79,130,0.4,0.6625,0.7125,57,0.5916666666666667,0.8125,0.875,0.6925,0.5235100068295158,0.4337221034021182,"['2', '8', '10', '18', '19', '128', '129', '130', '191', '209', '1202', '1205', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '76', '92', '158', '160', '162', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '71', '201', '1641', '1096', '1146', '1147', '1151', '1645', '1406', '1640']",0.7125,0.53125,0.725,0.41874999999999996,0.725,0.45,0.8625,0.6,0.7562500000000001,0.5,105.0,82.0,79.0,10.0,122.0
30,Filtering,GUI_States,NO,Interacted_GUI_Component_IDs,None,2,1.4375,32,33,0.2625,0.4,0.4,32,0.3541666666666667,0.4,0.4,0.3724999999999999,0.325,0.2627083333333333,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1428', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']",0.4,0.33125000000000004,0.4,0.325,0.4,0.34375,0.4,0.3375,0.4,0.334375,248.0,283.0,253.0,238.0,400.0
